key,conn,conn_head_sem_class,frequency,conn_total_count
ever since+Contingency.Cause.Result,ever since,Contingency.Cause.Result,1,2
ever since+Temporal.Asynchronous.Precedence,ever since,Temporal.Asynchronous.Precedence,1,2
in other words+Contingency.Cause.Reason,in other words,Contingency.Cause.Reason,2,271
in contrast+Comparison.Contrast.Opposition,in contrast,Comparison.Contrast.Opposition,3,28
that is+Contingency.Cause.Reason,that is,Contingency.Cause.Reason,1,119
then+Temporal.Synchrony,then,Temporal.Synchrony,6,760
yet+Expansion.Conjunction,yet,Expansion.Conjunction,5,109
because+Expansion.Alternative.Chosen alternative,because,Expansion.Alternative.Chosen alternative,2,2847
because+Contingency.Pragmatic condition.Implicit assertion,because,Contingency.Pragmatic condition.Implicit assertion,2,2847
previously+Temporal.Asynchronous.Precedence,previously,Temporal.Asynchronous.Precedence,2,157
that is+Contingency.Cause.Result,that is,Contingency.Cause.Result,3,119
as well+Expansion.Conjunction,as well,Expansion.Conjunction,6,6
but+Comparison.Pragmatic concession,but,Comparison.Pragmatic concession,8,4102
still+Comparison.Concession,still,Comparison.Concession,1,203
however+Comparison.Concession,however,Comparison.Concession,5,1201
still+Comparison.Contrast.Opposition,still,Comparison.Contrast.Opposition,7,203
to this end+Contingency.Cause.Result,to this end,Contingency.Cause.Result,1,1
when+Expansion.Alternative.Disjunctive,when,Expansion.Alternative.Disjunctive,2,1215
however+Comparison.Pragmatic concession,however,Comparison.Pragmatic concession,1,1201
but+Comparison.Concession.Expectation,but,Comparison.Concession.Expectation,14,4102
when+Contingency.Pragmatic condition.Implicit assertion,when,Contingency.Pragmatic condition.Implicit assertion,12,1215
in fact+Comparison.Concession.Contra-expectation,in fact,Comparison.Concession.Contra-expectation,1,944
rather+Contingency.Cause.Result,rather,Contingency.Cause.Result,1,153
once+Contingency.Condition.General,once,Contingency.Condition.General,4,95
but+Expansion.List,but,Expansion.List,1,4102
however+Expansion.List,however,Expansion.List,1,1201
much as+Expansion.Alternative.Chosen alternative,much as,Expansion.Alternative.Chosen alternative,2,7
much as+Temporal.Synchrony,much as,Temporal.Synchrony,1,7
however+Comparison.Pragmatic contrast,however,Comparison.Pragmatic contrast,3,1201
in comparison+Comparison.Contrast.Juxtaposition,in comparison,Comparison.Contrast.Juxtaposition,2,2
inasmuch as+Contingency.Pragmatic cause.Justification,inasmuch as,Contingency.Pragmatic cause.Justification,4,18
but+Expansion,but,Expansion,6,4102
but+Expansion.Alternative.Chosen alternative,but,Expansion.Alternative.Chosen alternative,2,4102
meantime+Comparison.Contrast.Juxtaposition,meantime,Comparison.Contrast.Juxtaposition,1,18
when+Contingency.Condition.Factual present,when,Contingency.Condition.Factual present,8,1215
in summary+Expansion.Restatement.Generalization,in summary,Expansion.Restatement.Generalization,1,1
then+Contingency.Cause.Reason,then,Contingency.Cause.Reason,2,760
on the one hand+Expansion.Restatement.Specification,on the one hand,Expansion.Restatement.Specification,2,4
as+Expansion,as,Expansion,2,1370
rather+Expansion.Restatement.Generalization,rather,Expansion.Restatement.Generalization,1,153
even though+Comparison,even though,Comparison,5,37
when+Comparison.Contrast,when,Comparison.Contrast,1,1215
though+Comparison.Concession,though,Comparison.Concession,6,325
as a consequence+Contingency.Cause.Result,as a consequence,Contingency.Cause.Result,2,2
as long as+Contingency.Condition.General,as long as,Contingency.Condition.General,7,31
on the whole+Expansion.Restatement.Specification,on the whole,Expansion.Restatement.Specification,8,48
rather+Expansion,rather,Expansion,1,153
particularly+Expansion.Restatement.Specification,particularly,Expansion.Restatement.Specification,4,4
on the whole+Expansion,on the whole,Expansion,2,48
though+Comparison,though,Comparison,13,325
plus+Expansion.Conjunction,plus,Expansion.Conjunction,7,8
And+Expansion.List,And,Expansion.List,1,1
ultimately+Expansion.Restatement.Specification,ultimately,Expansion.Restatement.Specification,3,51
for instance+Expansion.List,for instance,Expansion.List,1,695
besides+Contingency.Pragmatic cause.Justification,besides,Contingency.Pragmatic cause.Justification,1,37
furthermore+Expansion.List,furthermore,Expansion.List,1,358
and+Contingency.Cause.Reason,and,Contingency.Cause.Reason,1,4477
but+Comparison.Concession,but,Comparison.Concession,2,4102
in sum+Expansion.Restatement,in sum,Expansion.Restatement,6,42
in particular+Contingency.Pragmatic cause.Justification,in particular,Contingency.Pragmatic cause.Justification,1,645
for example+Contingency.Pragmatic cause.Justification,for example,Contingency.Pragmatic cause.Justification,3,993
nor+Comparison.Contrast,nor,Comparison.Contrast,1,33
finally+Comparison.Contrast.Juxtaposition,finally,Comparison.Contrast.Juxtaposition,1,51
much as+Comparison.Concession.Expectation,much as,Comparison.Concession.Expectation,2,7
when+Contingency,when,Contingency,4,1215
in particular+Expansion.Restatement,in particular,Expansion.Restatement,1,645
as if+Comparison.Concession.Contra-expectation,as if,Comparison.Concession.Contra-expectation,4,16
specifically+Expansion.Restatement.Generalization,specifically,Expansion.Restatement.Generalization,1,1177
and+Expansion,and,Expansion,4,4477
or+Expansion.Restatement.Equivalence,or,Expansion.Restatement.Equivalence,2,111
similarly+Comparison,similarly,Comparison,2,86
meanwhile+Temporal.Asynchronous.Precedence,meanwhile,Temporal.Asynchronous.Precedence,1,655
for example+Contingency.Cause.Reason,for example,Contingency.Cause.Reason,2,993
in particular+Contingency.Cause.Reason,in particular,Contingency.Cause.Reason,1,645
if+Comparison,if,Comparison,1,1234
previously+Comparison.Contrast.Juxtaposition,previously,Comparison.Contrast.Juxtaposition,3,157
in particular+Expansion,in particular,Expansion,2,645
on the contrary+Comparison,on the contrary,Comparison,1,15
simultaneously+Expansion.Conjunction,simultaneously,Expansion.Conjunction,1,10
or+Expansion.Restatement,or,Expansion.Restatement,1,111
or+Expansion,or,Expansion,1,111
or+Comparison.Contrast,or,Comparison.Contrast,1,111
until+Expansion.Alternative.Disjunctive,until,Expansion.Alternative.Disjunctive,3,164
meantime+Temporal.Asynchronous.Succession,meantime,Temporal.Asynchronous.Succession,2,18
thus+Contingency.Pragmatic cause.Justification,thus,Contingency.Pragmatic cause.Justification,1,297
furthermore+Contingency,furthermore,Contingency,1,358
but+Contingency.Cause.Reason,but,Contingency.Cause.Reason,2,4102
still+Expansion.Conjunction,still,Expansion.Conjunction,1,203
instead+Comparison.Contrast.Juxtaposition,instead,Comparison.Contrast.Juxtaposition,2,253
so+Expansion.Restatement.Generalization,so,Expansion.Restatement.Generalization,3,1079
for instance+Contingency.Cause.Reason,for instance,Contingency.Cause.Reason,1,695
so+Temporal.Asynchronous.Precedence,so,Temporal.Asynchronous.Precedence,5,1079
by then+Temporal.Synchrony,by then,Temporal.Synchrony,2,8
earlier+Comparison.Contrast.Juxtaposition,earlier,Comparison.Contrast.Juxtaposition,1,41
thereafter+Comparison.Contrast.Opposition,thereafter,Comparison.Contrast.Opposition,1,14
for example+Expansion,for example,Expansion,2,993
then+Comparison,then,Comparison,1,760
accordingly+Expansion.Restatement.Specification,accordingly,Expansion.Restatement.Specification,2,91
indeed+Contingency.Cause.Result,indeed,Contingency.Cause.Result,2,505
instead+Expansion.Alternative,instead,Expansion.Alternative,5,253
by comparison+Comparison,by comparison,Comparison,2,211
in fact+Comparison,in fact,Comparison,1,944
in particular+Expansion.Conjunction,in particular,Expansion.Conjunction,2,645
in particular+Comparison.Contrast.Juxtaposition,in particular,Comparison.Contrast.Juxtaposition,1,645
that is+Expansion.Restatement.Generalization,that is,Expansion.Restatement.Generalization,6,119
as a result+Expansion.Conjunction,as a result,Expansion.Conjunction,1,362
indeed+Contingency,indeed,Contingency,1,505
though+Comparison.Contrast.Opposition,though,Comparison.Contrast.Opposition,3,325
consequently+Expansion.Conjunction,consequently,Expansion.Conjunction,1,204
subsequently+Contingency.Cause.Result,subsequently,Contingency.Cause.Result,2,50
at the same time+Comparison,at the same time,Comparison,1,14
however+Expansion,however,Expansion,1,1201
much as+Comparison,much as,Comparison,1,7
as+Contingency,as,Contingency,1,1370
what's more+Expansion.Conjunction,what's more,Expansion.Conjunction,1,1
if+Comparison.Concession,if,Comparison.Concession,1,1234
although+Expansion,although,Expansion,1,536
nevertheless+Comparison,nevertheless,Comparison,1,72
as+Contingency.Cause.Result,as,Contingency.Cause.Result,3,1370
while+Temporal.Asynchronous.Precedence,while,Temporal.Asynchronous.Precedence,4,1550
when+Contingency.Cause.Result,when,Contingency.Cause.Result,3,1215
further+Expansion.Restatement.Specification,further,Expansion.Restatement.Specification,1,67
if+Comparison.Pragmatic contrast,if,Comparison.Pragmatic contrast,1,1234
because+Expansion.List,because,Expansion.List,1,2847
separately+Comparison.Contrast,separately,Comparison.Contrast,1,81
until+Temporal.Synchrony,until,Temporal.Synchrony,1,164
by then+Temporal.Asynchronous.Precedence,by then,Temporal.Asynchronous.Precedence,2,8
by then+Contingency.Cause.Reason,by then,Contingency.Cause.Reason,1,8
in turn+Comparison.Contrast.Opposition,in turn,Comparison.Contrast.Opposition,2,71
and+Comparison.Concession.Contra-expectation,and,Comparison.Concession.Contra-expectation,1,4477
rather+Expansion.Alternative,rather,Expansion.Alternative,1,153
as a result+Expansion.Restatement.Specification,as a result,Expansion.Restatement.Specification,1,362
still+Comparison.Concession.Expectation,still,Comparison.Concession.Expectation,2,203
even though+Expansion.Restatement.Specification,even though,Expansion.Restatement.Specification,1,37
as soon as+Temporal.Synchrony,as soon as,Temporal.Synchrony,9,20
although+Comparison.Pragmatic concession,although,Comparison.Pragmatic concession,1,536
except+Expansion.Alternative.Disjunctive,except,Expansion.Alternative.Disjunctive,1,10
also+Contingency.Cause.Result,also,Contingency.Cause.Result,1,2206
in short+Expansion.Conjunction,in short,Expansion.Conjunction,6,158
whereas+Expansion.Conjunction,whereas,Expansion.Conjunction,2,82
accordingly+Expansion.Conjunction,accordingly,Expansion.Conjunction,1,91
alternatively+Expansion.Alternative,alternatively,Expansion.Alternative,2,6
therefore+Expansion.Restatement.Specification,therefore,Expansion.Restatement.Specification,2,142
next+Expansion.Conjunction,next,Expansion.Conjunction,1,16
because+Comparison.Contrast,because,Comparison.Contrast,1,2847
once+Temporal.Synchrony,once,Temporal.Synchrony,2,95
meantime+Expansion.Conjunction,meantime,Expansion.Conjunction,2,18
by then+Temporal.Asynchronous.Succession,by then,Temporal.Asynchronous.Succession,3,8
ultimately+Contingency.Cause.Result,ultimately,Contingency.Cause.Result,5,51
however+Comparison.Concession.Expectation,however,Comparison.Concession.Expectation,3,1201
eventually+Expansion.Restatement.Specification,eventually,Expansion.Restatement.Specification,1,6
as+Comparison.Concession.Expectation,as,Comparison.Concession.Expectation,2,1370
but+Expansion.Restatement.Specification,but,Expansion.Restatement.Specification,4,4102
that is+Expansion.Conjunction,that is,Expansion.Conjunction,2,119
incidentally+Expansion.Conjunction,incidentally,Expansion.Conjunction,1,1
so+Expansion.Restatement.Specification,so,Expansion.Restatement.Specification,3,1079
overall+Expansion.Restatement.Generalization,overall,Expansion.Restatement.Generalization,8,43
in the end+Comparison.Concession.Contra-expectation,in the end,Comparison.Concession.Contra-expectation,1,65
before+Temporal.Asynchronous.Succession,before,Temporal.Asynchronous.Succession,8,331
also+Temporal.Asynchronous.Succession,also,Temporal.Asynchronous.Succession,1,2206
for+Contingency.Cause.Reason,for,Contingency.Cause.Reason,4,4
as+Comparison.Contrast.Opposition,as,Comparison.Contrast.Opposition,1,1370
then+Comparison.Concession.Contra-expectation,then,Comparison.Concession.Contra-expectation,1,760
at the time+Expansion.Conjunction,at the time,Expansion.Conjunction,1,22
separately+Expansion.List,separately,Expansion.List,1,81
on the other hand+Expansion.Conjunction,on the other hand,Expansion.Conjunction,1,73
moreover+Expansion.List,moreover,Expansion.List,1,191
inasmuch as+Expansion.Restatement.Specification,inasmuch as,Expansion.Restatement.Specification,1,18
for one thing+Expansion.Conjunction,for one thing,Expansion.Conjunction,1,25
finally+Expansion,finally,Expansion,1,51
as though+Comparison,as though,Comparison,3,5
when and if+Temporal.Asynchronous.Succession,when and if,Temporal.Asynchronous.Succession,1,2
when and if+Contingency.Condition.Hypothetical,when and if,Contingency.Condition.Hypothetical,1,2
while+Comparison.Concession,while,Comparison.Concession,1,1550
first+Expansion.Conjunction,first,Expansion.Conjunction,4,27
overall+Expansion.Restatement.Specification,overall,Expansion.Restatement.Specification,8,43
for one thing+Contingency.Pragmatic cause.Justification,for one thing,Contingency.Pragmatic cause.Justification,1,25
in sum+Expansion.Restatement.Specification,in sum,Expansion.Restatement.Specification,1,42
even though+Comparison.Concession,even though,Comparison.Concession,2,37
so far+Expansion,so far,Expansion,1,1
by contrast+Temporal.Asynchronous.Precedence,by contrast,Temporal.Asynchronous.Precedence,1,174
in short+Contingency.Cause.Reason,in short,Contingency.Cause.Reason,2,158
in fact+Temporal.Asynchronous.Precedence,in fact,Temporal.Asynchronous.Precedence,1,944
in sum+Expansion,in sum,Expansion,1,42
eventually+Temporal.Asynchronous.Precedence,eventually,Temporal.Asynchronous.Precedence,4,6
that is+Expansion,that is,Expansion,2,119
as+Contingency.Cause,as,Contingency.Cause,1,1370
because+Comparison.Contrast.Juxtaposition,because,Comparison.Contrast.Juxtaposition,1,2847
since+Expansion,since,Expansion,1,415
either or+Expansion.Alternative.Conjunctive,either or,Expansion.Alternative.Conjunctive,1,4
and+Expansion.Restatement.Generalization,and,Expansion.Restatement.Generalization,1,4477
in fact+Contingency,in fact,Contingency,1,944
so+Expansion.Exception,so,Expansion.Exception,1,1079
in other words+Contingency.Cause.Result,in other words,Contingency.Cause.Result,1,271
meantime+Temporal.Asynchronous,meantime,Temporal.Asynchronous,1,18
after+Expansion.Conjunction,after,Expansion.Conjunction,1,651
else+Expansion.Alternative,else,Expansion.Alternative,1,1
then+Comparison.Contrast.Opposition,then,Comparison.Contrast.Opposition,1,760
either or+Expansion.Alternative.Disjunctive,either or,Expansion.Alternative.Disjunctive,2,4
meanwhile+Comparison.Concession.Contra-expectation,meanwhile,Comparison.Concession.Contra-expectation,1,655
once+Contingency.Cause.Result,once,Contingency.Cause.Result,1,95
plus+Contingency.Cause.Reason,plus,Contingency.Cause.Reason,1,8
if then+Contingency.Condition.General,if then,Contingency.Condition.General,5,38
if+Contingency.Cause.Result,if,Contingency.Cause.Result,1,1234
when+Comparison.Concession.Contra-expectation,when,Comparison.Concession.Contra-expectation,1,1215
then+Expansion.Alternative,then,Expansion.Alternative,1,760
otherwise+Expansion.Alternative.Conjunctive,otherwise,Expansion.Alternative.Conjunctive,1,24
when+Contingency.Pragmatic condition.Relevance,when,Contingency.Pragmatic condition.Relevance,1,1215
meanwhile+Expansion,meanwhile,Expansion,3,655
besides+Expansion.Alternative.Conjunctive,besides,Expansion.Alternative.Conjunctive,1,37
subsequently+Expansion,subsequently,Expansion,2,50
in other words+Expansion.Conjunction,in other words,Expansion.Conjunction,3,271
as an alternative+Expansion.Alternative.Disjunctive,as an alternative,Expansion.Alternative.Disjunctive,2,2
much as+Expansion.Restatement.Specification,much as,Expansion.Restatement.Specification,1,7
in turn+Temporal.Asynchronous,in turn,Temporal.Asynchronous,1,71
if and when+Contingency.Condition.Hypothetical,if and when,Contingency.Condition.Hypothetical,2,4
at the same time+Comparison.Contrast,at the same time,Comparison.Contrast,2,14
in the meantime+Temporal.Synchrony,in the meantime,Temporal.Synchrony,1,1
as+Comparison,as,Comparison,2,1370
lest+Expansion.Alternative.Disjunctive,lest,Expansion.Alternative.Disjunctive,1,2
now that+Temporal.Asynchronous.Precedence,now that,Temporal.Asynchronous.Precedence,1,31
in fact+Expansion.List,in fact,Expansion.List,1,944
and+Contingency.Condition.General,and,Contingency.Condition.General,1,4477
if then+Contingency.Pragmatic condition.Implicit assertion,if then,Contingency.Pragmatic condition.Implicit assertion,1,38
but+Contingency.Condition.Hypothetical,but,Contingency.Condition.Hypothetical,1,4102
nonetheless+Comparison.Contrast.Juxtaposition,nonetheless,Comparison.Contrast.Juxtaposition,3,34
or+Expansion.Restatement.Specification,or,Expansion.Restatement.Specification,1,111
so+Contingency.Pragmatic cause.Justification,so,Contingency.Pragmatic cause.Justification,1,1079
but+Expansion.Alternative.Conjunctive,but,Expansion.Alternative.Conjunctive,1,4102
neither nor+Comparison.Contrast.Opposition,neither nor,Comparison.Contrast.Opposition,1,3
as if+Comparison.Pragmatic concession,as if,Comparison.Pragmatic concession,1,16
as+Comparison.Concession.Contra-expectation,as,Comparison.Concession.Contra-expectation,1,1370
instead+Comparison.Contrast.Opposition,instead,Comparison.Contrast.Opposition,1,253
finally+Expansion.Restatement,finally,Expansion.Restatement,1,51
since+Temporal.Synchrony,since,Temporal.Synchrony,1,415
besides+Comparison.Contrast.Juxtaposition,besides,Comparison.Contrast.Juxtaposition,1,37
by comparison+Expansion,by comparison,Expansion,1,211
if+Comparison.Contrast,if,Comparison.Contrast,1,1234
so+Contingency.Pragmatic condition.Relevance,so,Contingency.Pragmatic condition.Relevance,1,1079
if then+Contingency.Condition.Unreal past,if then,Contingency.Condition.Unreal past,1,38
but+Expansion.Restatement,but,Expansion.Restatement,1,4102
as+Temporal,as,Temporal,1,1370
so+Expansion.Restatement,so,Expansion.Restatement,1,1079
on the contrary+Comparison.Contrast.Juxtaposition,on the contrary,Comparison.Contrast.Juxtaposition,2,15
neither nor+Expansion.Alternative.Disjunctive,neither nor,Expansion.Alternative.Disjunctive,1,3
second+Expansion.List,second,Expansion.List,2,2
third+Expansion.List,third,Expansion.List,1,1
as it turns out+Expansion.Conjunction,as it turns out,Expansion.Conjunction,1,2
by comparison+Comparison.Concession.Contra-expectation,by comparison,Comparison.Concession.Contra-expectation,1,211
nevertheless+Comparison.Contrast.Opposition,nevertheless,Comparison.Contrast.Opposition,1,72
still+Temporal.Asynchronous.Precedence,still,Temporal.Asynchronous.Precedence,2,203
for instance+Temporal.Asynchronous.Succession,for instance,Temporal.Asynchronous.Succession,1,695
thus+Expansion.Restatement.Generalization,thus,Expansion.Restatement.Generalization,1,297
instead+Expansion.Restatement.Specification,instead,Expansion.Restatement.Specification,1,253
then+Contingency.Condition.Unreal present,then,Contingency.Condition.Unreal present,1,760
overall+Contingency.Cause.Result,overall,Contingency.Cause.Result,1,43
in short+Contingency.Cause.Result,in short,Contingency.Cause.Result,1,158
for instance+Contingency.Pragmatic cause.Justification,for instance,Contingency.Pragmatic cause.Justification,1,695
in return+Expansion.Conjunction,in return,Expansion.Conjunction,1,1
at that time+Temporal.Synchrony,at that time,Temporal.Synchrony,1,1
in turn+Expansion,in turn,Expansion,1,71
while+Expansion,while,Expansion,1,1550
eventually+Contingency.Cause.Result,eventually,Contingency.Cause.Result,1,6
as+Comparison.Contrast.Juxtaposition,as,Comparison.Contrast.Juxtaposition,2,1370
if+Temporal.Synchrony,if,Temporal.Synchrony,1,1234
nevertheless+Comparison.Pragmatic concession,nevertheless,Comparison.Pragmatic concession,5,72
whereas+Expansion.List,whereas,Expansion.List,1,82
after+Expansion.Restatement.Specification,after,Expansion.Restatement.Specification,1,651
when+Contingency.Pragmatic cause.Justification,when,Contingency.Pragmatic cause.Justification,1,1215
if and when+Temporal.Synchrony,if and when,Temporal.Synchrony,1,4
by contrast+Comparison.Concession.Contra-expectation,by contrast,Comparison.Concession.Contra-expectation,1,174
in turn+Temporal.Synchrony,in turn,Temporal.Synchrony,1,71
on the one hand on the other hand+Comparison.Contrast,on the one hand on the other hand,Comparison.Contrast,1,1
